layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
111408,Perfil 35169,55100,55,100,S/D,,0,,0,,,0,0,,0,
111409,Perfil 35169,100130,100,130,S/D,,0,,0,,,0,0,,0,
111410,Perfil 35169,130150,130,150,S/D,,0,,0,,,0,0,,0,
111411,Perfil 35170,20,0,20,S/D,,0,,26,,,6,18,,30,
111412,Perfil 35170,2050,20,50,S/D,,0,,34,,,6,25,,26,
111413,Perfil 35170,5090,50,90,S/D,,0,,0,,,0,0,,0,
111414,Perfil 35170,90120,90,120,S/D,,0,,0,,,0,0,,0,
111415,Perfil 35171,20,0,20,S/D,,0,,26,,,7,34,,27,
111416,Perfil 35171,2052,20,52,S/D,,0,,18,,,7,48,,21,
111417,Perfil 35171,5298,52,98,S/D,,0,,21,,,7,60,,19,
111418,Perfil 35172,20,0,20,S/D,,0,,4,,,7,16,,38,
111419,Perfil 35172,2050,20,50,S/D,,0,,7,,,6,10,,62,
111420,Perfil 35172,50100,50,100,S/D,,0,,0,,,0,0,,0,
111421,Perfil 35172,100150,100,150,S/D,,0,,0,,,0,0,,0,
111422,Perfil 35173,25,0,25,S/D,,0,,9,,,5,13,,36,
111423,Perfil 35173,2565,25,65,S/D,,0,,15,,,6,17,,37,
111424,Perfil 35173,6585,65,85,S/D,,0,,0,,,0,0,,0,
111425,Perfil 35173,85130,85,130,S/D,,0,,0,,,0,0,,0,
111426,Perfil 35174,30,0,30,S/D,,0,,8,,,6,52,,18,
111427,Perfil 35174,3055,30,55,S/D,,0,,10,,,6,74,,4,
111428,Perfil 35174,55100,55,100,S/D,,0,,0,,,6,68,,8,
111429,Perfil 35174,100130,100,130,S/D,,0,,0,,,0,0,,0,
111430,Perfil 35175,35,0,35,S/D,,0,,8,,,6,52,,22,
111431,Perfil 35175,3570,35,70,S/D,,0,,8,,,6,38,,28,
111432,Perfil 35175,70130,70,130,S/D,,0,,0,,,0,0,,0,
111433,Perfil 35176,35,0,35,S/D,,0,,6,,,6,34,,34,
111434,Perfil 35176,3570,35,70,S/D,,0,,7,,,6,56,,18,
111435,Perfil 35176,70100,70,100,S/D,,0,,0,,,0,0,,0,
111436,Perfil 35176,100130,100,130,S/D,,0,,0,,,6,78,,7,
111437,Perfil 35176,130160,130,160,S/D,,0,,0,,,0,0,,0,
111438,Perfil 35177,25,0,25,S/D,,0,,12,,,6,24,,35,
111439,Perfil 35177,2550,25,50,S/D,,0,,9,,,6,22,,43,
111440,Perfil 35177,50100,50,100,S/D,,0,,0,,,0,0,,0,
111441,Perfil 35177,100125,100,125,S/D,,0,,0,,,0,0,,0,
111442,Perfil 35177,125140,125,140,S/D,,0,,0,,,0,0,,0,
111443,Perfil 35178,25,0,25,S/D,,0,,20,,,5,22,,33,
111444,Perfil 35178,2550,25,50,S/D,,0,,19,,,6,21,,32,
111445,Perfil 35178,50100,50,100,S/D,,0,,0,,,5,14,,31,
111446,Perfil 35178,100150,100,150,S/D,,0,,0,,,0,0,,0,
111447,Perfil 35179,45,0,45,S/D,,0,,9,,,6,12,,55,
111448,Perfil 35179,4570,45,70,S/D,,0,,9,,,6,8,,63,
111449,Perfil 35179,70125,70,125,S/D,,0,,0,,,0,0,,0,
111450,Perfil 35179,125150,125,150,S/D,,0,,0,,,0,0,,0,
111451,Perfil 35180,40,0,40,S/D,,0,,10,,,6,16,,57,
111452,Perfil 35180,4080,40,80,S/D,,0,,9,,,6,12,,67,
111453,Perfil 35180,80120,80,120,S/D,,0,,0,,,0,0,,0,
111454,Perfil 35180,120150,120,150,S/D,,0,,0,,,0,0,,0,
111455,Perfil 35181,20,0,20,S/D,,0,,11,,,6,14,,47,
111456,Perfil 35181,2060,20,60,S/D,,0,,11,,,6,8,,68,
111457,Perfil 35181,6090,60,90,S/D,,0,,0,,,0,0,,0,
111458,Perfil 35181,90150,90,150,S/D,,0,,0,,,0,0,,0,
111459,Perfil 35182,25,0,25,S/D,,0,,9,,,6,30,,35,
111460,Perfil 35182,2555,25,55,S/D,,0,,8,,,6,38,,27,
111461,Perfil 35182,55110,55,110,S/D,,0,,0,,,0,0,,0,
111462,Perfil 35182,110140,110,140,S/D,,0,,0,,,0,0,,0,
111463,Perfil 35183,20,0,20,S/D,,0,,17,,,6,22,,36,
111464,Perfil 35183,2050,20,50,S/D,,0,,13,,,6,13,,59,
111465,Perfil 35183,50130,50,130,S/D,,0,,0,,,0,0,,0,
111466,Perfil 35184,30,0,30,S/D,,0,,4,,,6,16,,43,
111467,Perfil 35184,3055,30,55,S/D,,0,,7,,,6,8,,65,
111468,Perfil 35184,55100,55,100,S/D,,0,,0,,,0,0,,0,
111469,Perfil 35184,100160,100,160,S/D,,0,,0,,,0,0,,0,
111470,Perfil 35185,5,0,5,S/D,,0,,0,,,0,0,,0,
111471,Perfil 35185,530,5,30,S/D,,0,,24,,,6,14,,39,
111472,Perfil 35185,3080,30,80,S/D,,0,,13,,,6,14,,43,
111473,Perfil 35185,80125,80,125,S/D,,0,,0,,,0,0,,0,
111474,Perfil 35185,125170,125,170,S/D,,0,,0,,,0,0,,0,
111475,Perfil 35186,25,0,25,S/D,,0,,7,,,6,19,,52,
111476,Perfil 35186,2555,25,55,S/D,,0,,6,,,6,15,,60,
111477,Perfil 35186,55155,55,155,S/D,,0,,0,,,0,0,,0,
111478,Perfil 35187,40,0,40,S/D,,0,,14,,,6,12,,55,
111479,Perfil 35187,4060,40,60,S/D,,0,,6,,,6,16,,54,
111480,Perfil 35187,60125,60,125,S/D,,0,,0,,,0,0,,0,
111481,Perfil 35187,125150,125,150,S/D,,0,,0,,,0,0,,0,
111482,Perfil 35188,20,0,20,S/D,,0,,14,,,6,13,,55,
111483,Perfil 35188,2068,20,68,S/D,,0,,14,,,6,33,,40,
111484,Perfil 35188,68110,68,110,S/D,,0,,0,,,7,39,,18,
111485,Perfil 35188,110140,110,140,S/D,,0,,0,,,0,0,,0,
111486,Perfil 35189,25,0,25,S/D,,0,,7,,,6,19,,36,
111487,Perfil 35189,2560,25,60,S/D,,0,,8,,,6,15,,43,
111488,Perfil 35189,60110,60,110,S/D,,0,,0,,,0,0,,0,
111489,Perfil 35189,110155,110,155,S/D,,0,,0,,,0,0,,0,
111490,Perfil 35190,20,0,20,S/D,,0,,15,,,6,20,,33,
111491,Perfil 35190,2045,20,45,S/D,,0,,12,,,6,19,,41,
111492,Perfil 35190,4585,45,85,S/D,,0,,9,,,6,15,,53,
111493,Perfil 35190,85125,85,125,S/D,,0,,0,,,0,0,,0,
111494,Perfil 35190,125150,125,150,S/D,,0,,0,,,0,0,,0,
111495,Perfil 35191,10,0,10,S/D,,0,,15,,,6,31,,40,
111496,Perfil 35191,1025,10,25,S/D,,0,,12,,,6,57,,21,
111497,Perfil 35191,2590,25,90,S/D,,0,,12,,,6,57,,22,
111498,Perfil 35191,90100,90,100,S/D,,0,,0,,,0,0,,0,
111499,Perfil 35192,30,0,30,S/D,,0,,15,,,6,21,,37,
111500,Perfil 35192,3070,30,70,S/D,,0,,15,,,6,13,,50,
111501,Perfil 35192,70110,70,110,S/D,,0,,9,,,6,11,,53,
111502,Perfil 35192,110150,110,150,S/D,,0,,10,,,6,9,,61,
111503,Perfil 35193,30,0,30,S/D,,0,,21,,,6,24,,37,
111504,Perfil 35193,30110,30,110,S/D,,0,,0,,,0,0,,0,
111505,Perfil 35194,5,0,5,S/D,,0,,19,,,6,25,,44,
111506,Perfil 35194,518,5,18,S/D,,0,,17,,,6,44,,23,
111507,Perfil 35194,1850,18,50,S/D,,0,,20,,,6,47,,23,
111508,Perfil 35194,5070,50,70,S/D,,0,,0,,,6,53,,20,
111509,Perfil 35194,70120,70,120,S/D,,0,,0,,,0,0,,0,
111510,Perfil 35194,120140,120,140,S/D,,0,,0,,,0,0,,0,
111511,Perfil 35195,20,0,20,S/D,,0,,6,,,6,21,,48,
111512,Perfil 35195,2045,20,45,S/D,,0,,7,,,6,25,,48,
111513,Perfil 35195,4570,45,70,S/D,,0,,6,,,6,30,,37,
111514,Perfil 35195,70135,70,135,S/D,,0,,0,,,6,15,,62,
111515,Perfil 35195,135150,135,150,S/D,,0,,0,,,0,0,,0,
111516,Perfil 35196,20,0,20,S/D,,0,,10,,,6,17,,54,
111517,Perfil 35196,2045,20,45,S/D,,0,,10,,,6,17,,56,
111518,Perfil 35196,4575,45,75,S/D,,0,,7,,,6,17,,52,
111519,Perfil 35196,75150,75,150,S/D,,0,,0,,,0,0,,0,
111520,Perfil 35197,25,0,25,S/D,,0,,17,,,6,12,,36,
111521,Perfil 35197,2570,25,70,S/D,,0,,32,,,7,25,,35,
111522,Perfil 35197,70120,70,120,S/D,,0,,0,,,0,0,,0,
111523,Perfil 35198,40,0,40,S/D,,0,,13,,,6,13,,62,
111524,Perfil 35198,4070,40,70,S/D,,0,,10,,,6,11,,62,
111525,Perfil 35198,70125,70,125,S/D,,0,,0,,,0,0,,0,
111526,Perfil 35198,125150,125,150,S/D,,0,,0,,,0,0,,0,
111527,Perfil 35199,35,0,35,S/D,,0,,12,,,6,15,,57,
111528,Perfil 35199,3590,35,90,S/D,,0,,7,,,6,15,,58,
111529,Perfil 35199,90130,90,130,S/D,,0,,0,,,0,0,,0,
111530,Perfil 35199,130150,130,150,S/D,,0,,0,,,0,0,,0,
111531,Perfil 35200,25,0,25,S/D,,0,,17,,,7,10,,64,
111532,Perfil 35200,25120,25,120,S/D,,0,,0,,,0,0,,0,
111533,Perfil 35201,15,0,15,S/D,,0,,16,,,7,20,,53,
111534,Perfil 35201,1540,15,40,S/D,,0,,17,,,7,28,,45,
111535,Perfil 35201,40130,40,130,S/D,,0,,0,,,7,44,,45,
111536,Perfil 35202,30,0,30,S/D,,0,,15,,,6,34,,35,
111537,Perfil 35202,3060,30,60,S/D,,0,,12,,,6,54,,13,
